model,algorithm,metric,feature,rank,in_topk
xgb,SHAP,pr_auc,Dyslipidemia,,False
xgb,SHAP,pr_auc,HbA1C,,False
xgb,SHAP,pr_auc,Clopidogrel,,False
xgb,SHAP,pr_auc,Current smoker,,False
xgb,FFS,pr_auc,"Age, years",,False
xgb,FFS,pr_auc,Male sex,,False
xgb,FFS,pr_auc,Current drinking,,False
xgb,FFS,pr_auc,Diabetes mellitus,,False
xgb,FFS,pr_auc,aspirin,,False
xgb,FFS,pr_auc,Hypertension,,False
xgb,FFS,pr_auc,Dapt,,False
xgb,FFS,pr_auc,Dyslipidemia,,False
xgb,FFS,pr_auc,HbA1C,,False
xgb,FFS,pr_auc,Clopidogrel,,False
xgb,FFS,pr_auc,Current smoker,,False
xgb_b,LOCO,pr_auc,"Age, years",,False
xgb_b,LOCO,pr_auc,Male sex,,False
xgb_b,LOCO,pr_auc,Current drinking,52.0,True
xgb_b,LOCO,pr_auc,Diabetes mellitus,,False
xgb_b,LOCO,pr_auc,aspirin,,False
xgb_b,LOCO,pr_auc,Hypertension,,False
xgb_b,LOCO,pr_auc,Dapt,,False
xgb_b,LOCO,pr_auc,Dyslipidemia,,False
xgb_b,LOCO,pr_auc,HbA1C,,False
xgb_b,LOCO,pr_auc,Clopidogrel,21.0,True
xgb_b,LOCO,pr_auc,Current smoker,,False
xgb_b,SHAP,pr_auc,"Age, years",,False
xgb_b,SHAP,pr_auc,Male sex,,False
xgb_b,SHAP,pr_auc,Current drinking,36.0,True
xgb_b,SHAP,pr_auc,Diabetes mellitus,,False
xgb_b,SHAP,pr_auc,aspirin,,False
xgb_b,SHAP,pr_auc,Hypertension,,False
xgb_b,SHAP,pr_auc,Dapt,,False
xgb_b,SHAP,pr_auc,Dyslipidemia,,False
xgb_b,SHAP,pr_auc,HbA1C,,False
xgb_b,SHAP,pr_auc,Clopidogrel,29.0,True
xgb_b,SHAP,pr_auc,Current smoker,,False
xgb_b,FFS,pr_auc,"Age, years",,False
xgb_b,FFS,pr_auc,Male sex,,False
xgb_b,FFS,pr_auc,Current drinking,,False
xgb_b,FFS,pr_auc,Diabetes mellitus,,False
xgb_b,FFS,pr_auc,aspirin,,False
xgb_b,FFS,pr_auc,Hypertension,,False
xgb_b,FFS,pr_auc,Dapt,,False
xgb_b,FFS,pr_auc,Dyslipidemia,,False
xgb_b,FFS,pr_auc,HbA1C,,False
xgb_b,FFS,pr_auc,Clopidogrel,,False
xgb_b,FFS,pr_auc,Current smoker,,False
