threshold,precision,recall,f1,f2,fp,fn
0.6385858585858586,0.9534883720930233,0.44565217391304346,0.6074074074074074,0.49878345498783455,2,51
0.6435353535353535,0.9761904761904762,0.44565217391304346,0.6119402985074627,0.5,1,51
0.6484848484848484,0.9743589743589743,0.41304347826086957,0.5801526717557252,0.4668304668304668,1,54
0.6534343434343434,0.9743589743589743,0.41304347826086957,0.5801526717557252,0.4668304668304668,1,54
0.6583838383838384,0.9743589743589743,0.41304347826086957,0.5801526717557252,0.4668304668304668,1,54
0.6633333333333333,0.9743589743589743,0.41304347826086957,0.5801526717557252,0.4668304668304668,1,54
0.6682828282828283,0.9743589743589743,0.41304347826086957,0.5801526717557252,0.4668304668304668,1,54
0.6732323232323232,0.9736842105263158,0.40217391304347827,0.5692307692307692,0.45566502463054187,1,55
0.6781818181818181,0.9736842105263158,0.40217391304347827,0.5692307692307692,0.45566502463054187,1,55
0.6831313131313131,0.972972972972973,0.391304347826087,0.5581395348837209,0.4444444444444444,1,56
0.6880808080808081,0.972972972972973,0.391304347826087,0.5581395348837209,0.4444444444444444,1,56
0.693030303030303,1.0,0.3804347826086957,0.5511811023622047,0.43424317617866004,0,57
0.6979797979797979,1.0,0.3804347826086957,0.5511811023622047,0.43424317617866004,0,57
0.702929292929293,1.0,0.3804347826086957,0.5511811023622047,0.43424317617866004,0,57
0.7078787878787879,1.0,0.3804347826086957,0.5511811023622047,0.43424317617866004,0,57
0.7128282828282828,1.0,0.3695652173913043,0.5396825396825397,0.4228855721393035,0,58
0.7177777777777777,1.0,0.3695652173913043,0.5396825396825397,0.4228855721393035,0,58
0.7227272727272727,1.0,0.3695652173913043,0.5396825396825397,0.4228855721393035,0,58
0.7276767676767677,1.0,0.3695652173913043,0.5396825396825397,0.4228855721393035,0,58
0.7326262626262626,1.0,0.358695652173913,0.528,0.4114713216957606,0,59
0.7375757575757576,1.0,0.358695652173913,0.528,0.4114713216957606,0,59
0.7425252525252525,1.0,0.358695652173913,0.528,0.4114713216957606,0,59
0.7474747474747474,1.0,0.34782608695652173,0.5161290322580645,0.4,0,60
0.7524242424242424,1.0,0.34782608695652173,0.5161290322580645,0.4,0,60
0.7573737373737374,1.0,0.33695652173913043,0.5040650406504065,0.38847117794486213,0,61
0.7623232323232323,1.0,0.33695652173913043,0.5040650406504065,0.38847117794486213,0,61
0.7672727272727272,1.0,0.33695652173913043,0.5040650406504065,0.38847117794486213,0,61
0.7722222222222221,1.0,0.33695652173913043,0.5040650406504065,0.38847117794486213,0,61
0.7771717171717172,1.0,0.33695652173913043,0.5040650406504065,0.38847117794486213,0,61
0.7821212121212121,1.0,0.32608695652173914,0.4918032786885246,0.3768844221105528,0,62
0.787070707070707,1.0,0.32608695652173914,0.4918032786885246,0.3768844221105528,0,62
0.792020202020202,1.0,0.32608695652173914,0.4918032786885246,0.3768844221105528,0,62
0.796969696969697,1.0,0.32608695652173914,0.4918032786885246,0.3768844221105528,0,62
0.8019191919191919,1.0,0.32608695652173914,0.4918032786885246,0.3768844221105528,0,62
0.8068686868686868,1.0,0.31521739130434784,0.4793388429752066,0.36523929471032746,0,63
0.8118181818181818,1.0,0.31521739130434784,0.4793388429752066,0.36523929471032746,0,63
0.8167676767676767,1.0,0.2826086956521739,0.4406779661016949,0.3299492385786802,0,66
0.8217171717171717,1.0,0.2826086956521739,0.4406779661016949,0.3299492385786802,0,66
