Feature,P-value,Test,Family,p_bonferroni,p_holm,p_fdr_bh,Sig Bonferroni (p_adj<0.05),Sig Holm (p_adj<0.05),Sig FDR (q<0.05),Multiplicity family
Aspirin,0.0117144605337541,Chi-square,binary,0.9605857637678361,0.7262965530927542,0.04439545673425466,No,No,Yes,all_association_tests
stent overlap,0.012546205280342889,Chi-square,binary,1.0,0.7527723168205733,0.04472994926035291,No,No,Yes,all_association_tests
TIMI-0,0.016884411481108683,Chi-square,binary,1.0,0.9961802773854123,0.05768840589378799,No,No,No,all_association_tests
Pre-TIMI flow-3,0.02182609526343254,Chi-square,binary,1.0,1.0,0.07158959246405873,No,No,No,all_association_tests
Stroke/TIA,0.03301329283908383,Chi-square,binary,1.0,1.0,0.09752554545722676,No,No,No,all_association_tests
ZES,0.05391994141823923,Chi-square,binary,1.0,1.0,0.13877136644858717,No,No,No,all_association_tests
Initial diagnosis-AMI,0.054154679589692556,Chi-square,binary,1.0,1.0,0.13877136644858717,No,No,No,all_association_tests
Bifurcation,0.06893784593319656,Chi-square,binary,1.0,1.0,0.17130010201582174,No,No,No,all_association_tests
EVS,0.08754072119413052,Chi-square,binary,1.0,1.0,0.21112762170349125,No,No,No,all_association_tests
Previous MI,0.12778791286616617,Chi-square,binary,1.0,1.0,0.28888463992859287,No,No,No,all_association_tests
NSTEMI,0.13035038630924312,Chi-square,binary,1.0,1.0,0.28888463992859287,No,No,No,all_association_tests
UA,0.16769090278821963,Chi-square,binary,1.0,1.0,0.36185931654300024,No,No,No,all_association_tests
DAPT,0.22562445375589293,Chi-square,binary,1.0,1.0,0.4743898771277749,No,No,No,all_association_tests
Men,0.2680570836658024,Chi-square,binary,1.0,1.0,0.5495170215148949,No,No,No,all_association_tests
Vessel dialation,0.2816797041351217,Fisher exact,binary,1.0,1.0,0.5633594082702434,No,No,No,all_association_tests
Chronic renal insufficiency,0.31467899090474816,Fisher exact,binary,1.0,1.0,0.6101962839213937,No,No,No,all_association_tests
Previous CABG,0.3251434623364961,Fisher exact,binary,1.0,1.0,0.6101962839213937,No,No,No,all_association_tests
Aneurysm,0.3950441849044032,Fisher exact,binary,1.0,1.0,0.7042091991774144,No,No,No,all_association_tests
Cardiogenic shock,0.45396657979084043,Fisher exact,binary,1.0,1.0,0.7759467307290165,No,No,No,all_association_tests
2-vessel disease,0.46367548543563186,Chi-square,binary,1.0,1.0,0.7759467307290165,No,No,No,all_association_tests
Ulceration,0.5038135388096225,Fisher exact,binary,1.0,1.0,0.8262542036477809,No,No,No,all_association_tests
No reflow,0.5466257847383544,Fisher exact,binary,1.0,1.0,0.8570923964523113,No,No,No,all_association_tests
CKD60,0.5548593229811211,Fisher exact,binary,1.0,1.0,0.8570923964523113,No,No,No,all_association_tests
Hypertension,0.5666751649351782,Chi-square,binary,1.0,1.0,0.8570923964523113,No,No,No,all_association_tests
Thrombus aspiration,0.5748790464009405,Chi-square,binary,1.0,1.0,0.8570923964523113,No,No,No,all_association_tests
Dissection,0.614680274396358,Fisher exact,binary,1.0,1.0,0.9000675446518098,No,No,No,all_association_tests
Current smoker,0.6264718289130093,Chi-square,binary,1.0,1.0,0.9012401749274871,No,No,No,all_association_tests
History of peripheral vascualr disease,0.6698481728455976,Fisher exact,binary,1.0,1.0,0.9470267271265346,No,No,No,all_association_tests
P-LM,0.7101289645075537,Fisher exact,binary,1.0,1.0,0.984377252862833,No,No,No,all_association_tests
STEMI,0.7202760386801217,Chi-square,binary,1.0,1.0,0.984377252862833,No,No,No,all_association_tests
P-RCA,0.7437283460384675,Chi-square,binary,1.0,1.0,0.9950540612239804,No,No,No,all_association_tests
P-LCX,0.7591727489367808,Chi-square,binary,1.0,1.0,0.9950540612239804,No,No,No,all_association_tests
P-LAD,0.7644927543550093,Chi-square,binary,1.0,1.0,0.9950540612239804,No,No,No,all_association_tests
TIMI-1,0.7837747666510047,Fisher exact,binary,1.0,1.0,1.0,No,No,No,all_association_tests
HL,0.8036093917908292,Chi-square,binary,1.0,1.0,1.0,No,No,No,all_association_tests
Visual thrombus,0.8406285259031926,Chi-square,binary,1.0,1.0,1.0,No,No,No,all_association_tests
