section,variable,label,non_vlst,vlst,non_vlst_mean,non_vlst_sd,vlst_mean,vlst_sd,test,p,in_paper_table,non_vlst_n,non_vlst_pct,vlst_n,vlst_pct,p_fmt
binary,Chronic renal insufficiency,Chronic renal insufficiency,62 (1.22%),2 (2.17%),,,,,Fisher,0.31467899090474816,False,62.0,1.217357156881995,2.0,2.1739130434782608,0.315
binary,History of peripheral vascualr disease,History of PVD,86 (1.69%),2 (2.17%),,,,,Fisher,0.6698481728455976,False,86.0,1.6885921853524446,2.0,2.1739130434782608,0.670
binary,Initial diagnosis-AMI,Admitting diagnosis AMI,3095 (60.77%),65 (70.65%),,,,,Chi-square,0.054154679589692556,True,3095.0,60.76968387983507,65.0,70.65217391304348,0.054
binary,STEMI,STEMI,2285 (44.87%),43 (46.74%),,,,,Chi-square,0.7202760386801217,False,2285.0,44.86550166895739,43.0,46.73913043478261,0.720
binary,NSTEMI,NSTEMI,810 (15.90%),20 (21.74%),,,,,Chi-square,0.13035038630924312,False,810.0,15.904182210877675,20.0,21.73913043478261,0.130
binary,UA,Unstable angina,1965 (38.58%),29 (31.52%),,,,,Chi-square,0.16769090278821963,False,1965.0,38.58236795601806,29.0,31.52173913043478,0.168
binary,Cardiogenic shock,Cardiogenic shock,110 (2.16%),3 (3.26%),,,,,Fisher,0.45396657979084043,False,110.0,2.159827213822894,3.0,3.260869565217391,0.454
binary,3-vessel disease,3-vessel disease,1422 (27.92%),42 (45.65%),,,,,Chi-square,0.0001807138876244862,True,1422.0,27.92067543687414,42.0,45.65217391304348,0.000
binary,Multi-vessel CAD,Multi-vessel CAD,2987 (58.65%),67 (72.83%),,,,,Chi-square,0.006160274021242302,False,2987.0,58.649126251718045,67.0,72.82608695652173,0.006
binary,PES,SES (PES column; matches Wang Table 1 SES),3502 (68.76%),76 (82.61%),,,,,Chi-square,0.004421005519799075,True,3502.0,68.76104457097978,76.0,82.6086956521739,0.004
binary,1.1:1Post dilation,1.1:1 post-dilation (CSV as stored),2496 (49.01%),14 (15.22%),,,,,Chi-square,1.2951772451909664e-10,True,2496.0,49.008442960926764,14.0,15.217391304347826,1.30e-10
binary,No postdilation,No postdilation (CSV as stored),2597 (50.99%),78 (84.78%),,,,,Chi-square,1.2951772451909664e-10,True,2597.0,50.991557039073236,78.0,84.78260869565217,1.30e-10
binary,CKD90,eGFR < 90 (CKD90),860 (16.89%),32 (34.78%),,,,,Chi-square,6.550244235288351e-06,True,860.0,16.885921853524444,32.0,34.78260869565217,6.55e-06
binary,Aspirin,Aspirin during follow-up (not index PCI),3148 (61.81%),45 (48.91%),,,,,Chi-square,0.0117144605337541,False,3148.0,61.810327901040644,45.0,48.91304347826087,0.012
binary,Clopidogrel,Clopidogrel during follow-up (not index PCI),2368 (46.50%),28 (30.43%),,,,,Chi-square,0.002196624637642745,False,2368.0,46.49518947575103,28.0,30.434782608695652,0.002
binary,Ticagrelor,Ticagrelor during follow-up (not index PCI),90 (1.77%),1 (1.09%),,,,,Fisher,1.0,False,90.0,1.7671313567641862,1.0,1.0869565217391304,1.000
binary,DAPT,DAPT during follow-up (not index PCI),2260 (44.37%),35 (38.04%),,,,,Chi-square,0.22562445375589293,True,2260.0,44.37463184763401,35.0,38.04347826086956,0.226
