iter	Passed	Remaining
930	20950	1552
931	20974	1530
932	20998	1507
933	21022	1485
934	21046	1463
935	21071	1440
936	21094	1418
937	21118	1395
938	21142	1373
939	21167	1351
940	21190	1328
941	21213	1306
942	21236	1283
943	21258	1261
944	21281	1238
945	21304	1216
946	21327	1193
947	21350	1171
948	21372	1148
949	21395	1126
950	21418	1103
951	21440	1081
952	21463	1058
953	21485	1035
954	21507	1013
955	21530	990
956	21553	968
957	21576	945
958	21598	923
959	21621	900
960	21644	878
961	21666	855
962	21689	833
963	21711	810
964	21733	788
965	21756	765
966	21779	743
967	21801	720
968	21824	698
969	21847	675
970	21869	653
971	21891	630
972	21914	608
973	21936	585
974	21958	563
975	21980	540
976	22002	517
977	22024	495
978	22046	472
979	22068	450
980	22090	427
981	22112	405
982	22134	382
983	22156	360
984	22179	337
985	22202	315
986	22225	292
987	22247	270
988	22270	247
989	22292	225
990	22315	202
991	22338	180
992	22360	157
993	22383	135
994	22406	112
995	22429	90
996	22451	67
997	22473	45
998	22496	22
999	22519	0
