Feature,Feature type,Test / method,P-value,p_fdr_bh,Effect,Odds Ratio,Domain,neglog10p,Is time-at-risk,p_fdr_within_domain
WBC,continuous,Mann-Whitney U,7.902144282841582e-21,9.482573139409899e-20,0.12967930767190222,,Laboratory,20.102255044931734,False,1.2643430852546532e-19
eGFR,continuous,Welch t-test,4.6430610786181575e-20,3.714448862894526e-19,-0.712424119481934,,Laboratory,19.333195603231875,False,3.714448862894526e-19
CKD90,binary,Chi-square,6.550244235288351e-06,0.00012445464047047868,0.0626023331172395,2.6251162790697675,Laboratory,5.1837425064111935,False,3.4934635921537875e-05
CKD5,continuous,Mann-Whitney U,1.1864369030549834e-05,5.69489713466392e-05,0.03987655179751219,,Laboratory,4.925755353429529,False,4.7457476122199334e-05
HbA1c,continuous,Mann-Whitney U,0.0001975000249745339,0.0006771429427698305,0.05159651044989407,,Laboratory,3.7044328451195385,False,0.0006320000799185084
Fiberinogen,continuous,Mann-Whitney U,0.011910976196995151,0.028586342872788363,0.03492370058918193,,Laboratory,1.9240526432532017,False,0.03176260319198707
Fast-Glu,continuous,Mann-Whitney U,0.02458279422964183,0.053635187410127634,0.031218089547205577,,Laboratory,1.6093687540962667,False,0.05618924395346704
HGB,continuous,Welch t-test,0.038765041300497856,0.07156623009322681,0.1791981635572917,,Laboratory,1.4115597489943896,False,0.07753008260099571
CaI,continuous,Mann-Whitney U,0.050713641980663055,0.08693767196685095,-0.027134793102741774,,Laboratory,1.2948751996412513,False,0.09015758574340099
LDL,continuous,Mann-Whitney U,0.32742239625050396,0.49113359437575593,0.013598626352093364,,Laboratory,0.4848916174245518,False,0.5238758340008063
TCL,continuous,Welch t-test,0.3807222453766603,0.5374902287670498,0.1151105014746227,,Laboratory,0.41939174687336234,False,0.5537778114569604
CKD60,binary,Fisher exact,0.5548593229811211,0.9362315898529602,0.0070763263624839794,1.300475687103594,Laboratory,0.2558171123679717,False,0.6871239785277656
TG,continuous,Mann-Whitney U,0.5582882325538095,0.7052061884890225,0.008129019534933377,,Laboratory,0.2531415259930337,False,0.6871239785277656
Platelet,continuous,Mann-Whitney U,0.8159502280273638,0.9384122718203479,0.003232772340412607,,Laboratory,0.08833633187398374,False,0.8993117604945001
Cre,continuous,Mann-Whitney U,0.8785448928231391,0.9384122718203479,0.002122650517855825,,Laboratory,0.05623604155943618,False,0.8993117604945001
HDL,continuous,Welch t-test,0.8993117604945001,0.9384122718203479,-0.016633935956142622,,Laboratory,0.0460897271864851,False,0.8993117604945001
Clopidogrel,binary,Chi-square,0.002196624637642745,0.020867934057606077,-0.04252747824350305,0.5034575591216216,Medications (1y),2.6582441496011255,False,0.00878649855057098
Aspirin,binary,Chi-square,0.0117144605337541,0.05959447508162872,-0.035005388573315345,0.591561004622996,Medications (1y),1.9312777064360582,False,0.0234289210675082
DAPT,binary,Chi-square,0.22562445375589293,0.5591562549602564,-0.016827644734030117,0.7697174351808725,Medications (1y),0.6466138321899949,False,0.30083260500785725
Ticagrelor,binary,Fisher exact,1.0,1.0,-0.0068383471685162026,0.6108669108669109,Medications (1y),-0.0,False,1.0
Initial diagnosis-AMI,binary,Chi-square,0.054154679589692556,0.18157745509485151,0.02674182741748747,1.554119547657512,Presentation / ACS,1.2663640093586874,False,0.2707733979484628
NSTEMI,binary,Chi-square,0.13035038630924312,0.3538081914108028,0.021007996317175898,1.468792866941015,Presentation / ACS,0.8848876774091621,False,0.27948483798036605
UA,binary,Chi-square,0.16769090278821963,0.43447188449675084,-0.019160116882802017,0.7327598045155297,Presentation / ACS,0.775490497179496,False,0.27948483798036605
Cardiogenic shock,binary,Fisher exact,0.45396657979084043,0.8809834223277005,0.009955336219168815,1.5269662921348315,Presentation / ACS,0.34297611795052635,False,0.5674582247385506
STEMI,binary,Chi-square,0.7202760386801217,1.0,0.004972991181227142,1.0784084312061806,Presentation / ACS,0.14250103259536673,False,0.7202760386801217
1.1:1Post dilation,binary,Chi-square,1.2951772451909664e-10,3.691255148794254e-09,-0.08926551318755811,0.1867500821827745,Procedural / stent,9.887670794253763,False,1.036141796152773e-09
No postdilation,binary,Chi-square,1.2951772451909664e-10,3.691255148794254e-09,0.08926551318755811,5.354749986247868,Procedural / stent,9.887670794253763,False,1.036141796152773e-09
No.of stents per lesion,continuous,Mann-Whitney U,0.00014121979786497457,0.0005648791914598983,0.036543746501660396,,Procedural / stent,3.85010441446841,False,0.0007531722552798644
Total stent length,continuous,Mann-Whitney U,0.0011222634842722242,0.0029927026247259314,0.04506606633944246,,Procedural / stent,2.9499051677397756,False,0.004489053937088897
PES,binary,Chi-square,0.004421005519799075,0.031499664328568405,0.0395301768565735,2.157981153626499,Procedural / stent,2.354478942860065,False,0.01414721766335704
stent overlap,binary,Chi-square,0.012546205280342889,0.05959447508162872,0.034668838694049166,1.7701048951048952,Procedural / stent,1.9014876108373577,False,0.0334565474142477
ZES,binary,Chi-square,0.05391994141823923,0.18157745509485151,-0.026767962377462297,0.5127732527409977,Procedural / stent,1.2682505883152675,False,0.1232455803845468
EVS,binary,Chi-square,0.08754072119413052,0.26262216358239154,-0.023727094433756913,0.5151164739400034,Procedural / stent,1.0577898798231893,False,0.17508144238826104
Min-stent diameter,continuous,Welch t-test,0.10584011246770593,0.16934417994832948,-0.16456856523583713,,Procedural / stent,0.9753497073307772,False,0.1881601999425883
No reflow,binary,Fisher exact,0.5466257847383544,0.9362315898529602,0.0034924449782961497,1.290569895221058,Procedural / stent,0.2623098861715916,False,0.819573699195144
Thrombus aspiration,binary,Chi-square,0.5748790464009405,0.9362315898529602,-0.007789254842198161,0.8277392406951593,Procedural / stent,0.24042352053873164,False,0.819573699195144
Dissection,binary,Fisher exact,0.614680274396358,0.9651052499470684,0.0008655585864964842,1.0653000845308538,Procedural / stent,0.21135072352835207,False,0.819573699195144
Max-stent diameter,continuous,Welch t-test,0.8854726672269677,0.9384122718203479,-0.014059354240680031,,Procedural / stent,0.05282484007041694,False,1.0
Staged PCI,binary,Chi-square,0.927859712023575,1.0,0.0012573507159787994,1.0325848849945236,Procedural / stent,0.03251768207821727,False,1.0
Stent release pressure,continuous,Welch t-test,0.9486375470511298,0.9486375470511298,-0.006397420490150106,,Procedural / stent,0.02289968997888887,False,1.0
Slow flow,binary,Fisher exact,1.0,1.0,-0.002624124403153535,0.894260552687519,Procedural / stent,-0.0,False,1.0
Time since stent implantation,continuous,Mann-Whitney U,1.6979128236682988e-34,4.074990776803917e-33,-0.17011018843223838,,Time-at-risk (excluded from risk models),33.770084611601916,True,1.6979128236682988e-34
