Feature,logOR,SE,Wald_p,OR,OR_lo,OR_hi,OR_lo_boot,OR_hi_boot,Domain model,n,events,pseudo_R2,LR_vs_null,LR_p
Current smoker,0.21825701701978123,0.22531957052524565,0.3327171559462334,1.24390673173882,0.7998258790255525,1.9345510039638514,0.804771718767737,2.0044045246927364,Cardiac function,5185,92,0.11496720429875551,106.25238917117281,1.2402809018012386e-20
Current drinking,-0.1335797587266589,0.31819503223666973,0.6746281571448907,0.8749576806840492,0.46896339530588665,1.6324321911919615,0.42894553296778026,1.4977063817902998,Cardiac function,5185,92,0.11496720429875551,106.25238917117281,1.2402809018012386e-20
Age,-0.03048878301159735,0.11446930745107016,0.789970456198991,0.9699713121631489,0.7750370045587512,1.2139347423225915,0.7606481792568871,1.2341095275664586,Laboratory,5185,92,0.16458827275787336,152.11205070827316,3.219517537641275e-28
WBC,0.6622124226871868,0.07934952525867084,7.090596334674916e-17,1.9390776515761408,1.659788543780641,2.265362146841621,1.6969386108741336,2.2667392277581326,Laboratory,5185,92,0.16458827275787336,152.11205070827316,3.219517537641275e-28
eGFR,-1.1987547307793287,0.19663589724993227,1.085401851668585e-09,0.3015695134209512,0.2051212507830967,0.4433678669457667,0.2077280496012112,0.4112454839919843,Laboratory,5185,92,0.16458827275787336,152.11205070827316,3.219517537641275e-28
HbA1c,0.0835346493278307,0.09990541207031654,0.4030776225488366,1.0871228827174537,0.8937972133970792,1.3222643172449262,0.8961186743553755,1.288251917955693,Laboratory,5185,92,0.16458827275787336,152.11205070827316,3.219517537641275e-28
Fiberinogen,0.07224354789547464,0.09129029082300678,0.4287335399808555,1.0749171059857097,0.89881132891974,1.2855276158227749,0.8901444131895005,1.2755569738200514,Laboratory,5185,92,0.16458827275787336,152.11205070827316,3.219517537641275e-28
Men,1.1373863266819106,0.2735709700762912,3.216719894958933e-05,3.118606684767625,1.8243013249980693,5.331195850711566,1.8486523372629824,5.805647070926763,Laboratory,5185,92,0.16458827275787336,152.11205070827316,3.219517537641275e-28
Current smoker,0.07552943443894997,0.2325975214482795,0.745391801271704,1.0784549709678801,0.6836198228059575,1.7013332346500165,0.6802845672250515,1.7620931368056656,Laboratory,5185,92,0.16458827275787336,152.11205070827316,3.219517537641275e-28
Current drinking,0.001437861298594266,0.3227705813387219,0.9964456378536716,1.0014388955167792,0.5319632593516825,1.885242718972928,0.45547911443777284,1.7835255357563264,Laboratory,5185,92,0.16458827275787336,152.11205070827316,3.219517537641275e-28
CKD90,-0.6550500818384835,0.37688096086854006,0.0821963344786244,0.5194160486249871,0.24814967376957275,1.0872189653560451,0.19546737247557794,1.1616634600176892,Laboratory,5185,92,0.16458827275787336,152.11205070827316,3.219517537641275e-28
Age,0.12194003888206918,0.10754738011574576,0.25686745252742926,1.129686362492271,0.9149837688950812,1.3947693073748462,0.8883858018678302,1.4399696066640206,Medications (1y),5185,92,0.014858644035281365,13.732319910033084,0.05615234086130223
Men,0.31485731054697513,0.24977160834002798,0.20745989567110978,1.370063803354182,0.8397206129000044,2.235356374995707,0.8543007354983418,2.3898603213784164,Medications (1y),5185,92,0.014858644035281365,13.732319910033084,0.05615234086130223
Current smoker,0.1106960266066482,0.2212466738931656,0.6168437573048073,1.1170553001512236,0.7240176663029206,1.7234559343941063,0.7438184123430457,1.7080968146841122,Medications (1y),5185,92,0.014858644035281365,13.732319910033084,0.05615234086130223
Current drinking,-0.12573764273494323,0.31113477375381154,0.6861200874677159,0.8818461751874684,0.47924151899192974,1.622673841633205,0.4210731586866925,1.533011791043961,Medications (1y),5185,92,0.014858644035281365,13.732319910033084,0.05615234086130223
Clopidogrel,-0.5937832022127119,0.277822219181755,0.03257542071365723,0.552234114464094,0.3203616561414089,0.9519320159942313,0.3217956334749747,0.9325041114582753,Medications (1y),5185,92,0.014858644035281365,13.732319910033084,0.05615234086130223
Aspirin,-0.1810610576502548,0.2560928133321437,0.4795581335901735,0.8343844115888692,0.5051025765354783,1.3783286378734256,0.4983291230279243,1.3079171866506423,Medications (1y),5185,92,0.014858644035281365,13.732319910033084,0.05615234086130223
Ticagrelor,-0.6818232402788492,1.0219487802235327,0.504657506399051,0.5056941493970382,0.06823442721942112,3.747764627847687,0.00012993154229751322,1.9939647208806301,Medications (1y),5185,92,0.014858644035281365,13.732319910033084,0.05615234086130223
